Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2019-01-02,37.61784744262695,37.839383011324664,36.73885839429097,36.896076715977145,148158800
2019-01-03,33.8708381652832,34.71171315877286,33.825578007512746,34.297229415515666,365248800
2019-01-04,35.31676483154297,35.385847281021086,34.25435774125792,34.428248800159444,234428400
2019-01-07,35.23814010620117,35.452529684249065,34.75457771221755,35.4215614526405,219111200
2019-01-08,35.909889221191406,36.164773761679356,35.3786859074955,35.6264208573848,164101200
2019-01-09,36.51969909667969,36.810313395728464,35.64309465249689,36.03851750787895,180396400
2019-01-10,36.63644027709961,36.67693525525436,35.93610723599519,36.32676873470214,143122800
2019-01-11,36.2767448425293,36.61261945893478,36.09094263659661,36.417290519136344,108092800
2019-01-14,35.731239318847656,36.03376482948273,35.54543716517122,35.93371779556231,129756800
2019-01-15,36.46255874633789,36.53878353843174,35.743168415575326,35.79557455035235,114843600
2019-01-16,36.907989501953125,37.131905854686835,36.445864882016686,36.46492197956527,122278800
2019-01-17,37.12714767456055,37.55592336335541,36.50780460910458,36.73172100407359,119284800
2019-01-18,37.3558235168457,37.60832370736827,37.15572580295646,37.51780339953194,135004000
2019-01-22,36.517330169677734,37.33438282804455,36.35534664867075,37.25815806827708,121576000
2019-01-23,36.66502380371094,36.955638241924085,36.13620104793098,36.719810699015575,92522400
2019-01-24,36.374412536621094,36.79842308807364,36.14573456729226,36.710287166016776,101766000
2019-01-25,37.57974624633789,37.66788580339846,36.760312613511495,37.03663152428315,134142000
2019-01-28,37.231964111328125,37.23911007071621,36.603094241781356,37.11047553218914,104768400
2019-01-29,36.8460578918457,37.66787943003454,36.710281051690714,37.22004666542963,166348800
2019-01-30,39.363914489746094,39.5783004672499,38.16810802124798,38.88749797549803,244439200
2019-01-31,39.647377014160156,40.257189480346746,39.19954439409294,39.5687678648014,162958400
2019-02-01,39.66644287109375,40.25243319065065,39.52589722677174,39.771255093393634,130672400
2019-02-04,40.79317092895508,40.89083720323202,39.847483697513894,39.87845193930174,125982000
2019-02-05,41.49111557006836,41.705505198302404,41.05519762567575,41.17668253733617,144406400
2019-02-06,41.505409240722656,41.82222666811307,41.17429989905097,41.603071866567944,112958400
2019-02-07,40.719322204589844,41.43394701369877,40.57639578886016,41.06710424288514,126966800
2019-02-08,40.76716995239258,40.826977430058655,40.29110111604144,40.42746391729229,95280000
2019-02-11,40.53272247314453,40.95855507730513,40.48966284090692,40.920277415076946,83973600
2019-02-12,40.88199996948242,40.90831540610889,40.597315786984844,40.693009943062364,89134000
2019-02-13,40.7121467590332,41.26237631491163,40.64994829285385,41.00161657355029,89960800
2019-02-14,40.8604736328125,40.970517358724166,40.52076756311618,40.599713879718436,87342800
2019-02-15,40.76956558227539,41.0757796107842,40.609281961912124,40.968126868792055,98507200
2019-02-19,40.891563415527344,41.013572995865594,40.54707543963872,40.59970630755749,75891200
2019-02-20,41.15471649169922,41.46332508505415,40.90591901946894,40.95376426601034,104457600
2019-02-21,40.92266845703125,41.236059059948154,40.74085503673257,41.09969990731384,68998800
2019-02-22,41.379600524902344,41.386777130641946,40.999225819267565,41.0470710743179,75652800
2019-02-25,41.68102264404297,42.07335951698332,41.61403856698182,41.66427844995689,87493600
2019-02-26,41.704952239990234,41.93700555357512,41.42744465771321,41.556630858244425,68280800
2019-02-27,41.834136962890625,41.86523802210766,41.3221850553775,41.43701805078238,111341600
2019-02-28,41.42265319824219,41.843700132789515,41.3676313466987,41.70255537648484,112861600
2019-03-01,41.858062744140625,41.90112238101423,41.36046403267698,41.692993502073456,103544800
2019-03-04,42.06858444213867,42.52311984674224,41.6188310078529,42.03030677744222,109744800
2019-03-05,41.992027282714844,42.10446563638617,41.75518834938098,42.09011242534028,78949600
2019-03-06,41.750404357910156,41.98245765954082,41.61165057391955,41.7862873837876,83241600
2019-03-07,41.26716613769531,41.73127282208399,41.152336784456246,41.59490999919565,99185600
2019-03-08,41.36524963378906,41.40352730012009,40.549474665610056,40.745644967787186,95997600
2019-03-11,42.79823303222656,42.85086390887419,41.9489697007088,41.982461744906466,128044000
2019-03-12,43.27907943725586,43.70012272136719,42.910663369594886,43.06137936548877,129870400
2019-03-13,43.4704704284668,43.85084512569788,43.281476747208835,43.59965297928454,124130000
2019-03-14,43.95372009277344,44.04223766135387,43.673821474024535,43.99438874845221,94318000
2019-03-15,44.52546691894531,44.81493669824588,43.956102250709826,44.22164758035105,156171600
2019-03-18,44.980003356933594,45.06851724500386,44.4465180927503,44.448912727795424,104879200
2019-03-19,44.62355041503906,45.212057541699544,44.47762003833095,45.0589505604286,126585600
2019-03-20,45.01349639892578,45.331672586572196,44.192935988604326,44.551780818984106,124140800
2019-03-21,46.671363830566406,46.96801024304123,45.40823015544598,45.458470044388214,204136800
2019-03-22,45.70487976074219,47.293366381352534,45.640286656263825,46.73117457458719,169630800
2019-03-25,45.15224838256836,45.92735084925179,44.640296590856394,45.8149125148253,175381200
2019-03-26,44.68574523925781,46.142657903184535,44.15704927752457,45.850797173491095,199202000
2019-03-27,45.08766555786133,45.396270563858714,44.6283445266499,45.15464964676555,119393600
2019-03-28,45.14746856689453,45.3484208136936,44.862784392083164,45.202490423679315,83121600
2019-03-29,45.44171905517578,45.47282011048234,45.10440401800944,45.41301263511349,94256000
2019-04-01,45.750335693359375,45.855593802161465,45.06613790916995,45.84602621058282,111448000
2019-04-02,46.41538619995117,46.52064793996285,45.704873105230924,45.714440695068994,91062800
2019-04-03,46.73355484008789,47.008667720292465,46.20724622522316,46.231170671483554,93087200
2019-04-04,46.814910888671875,46.977585507326346,46.20487376799869,46.599601737067516,76457200
2019-04-05,47.12828826904297,47.15221271815539,46.872310534902006,46.996711099641466,74106400
2019-04-08,47.86989974975586,47.90099715145855,46.97039307784972,46.98953190601349,103526800
2019-04-09,47.72636795043945,48.527789624287095,47.66177485141358,47.922538232533284,143072800
2019-04-10,47.99430847167969,48.0230185461718,47.41058684524809,47.53020181294771,86781200
2019-04-11,47.594783782958984,48.08520576586659,47.47277785857755,48.04932274409507,83603200
2019-04-12,47.57566452026367,47.87948761419143,46.93931555354505,47.65461085098631,111042800
2019-04-15,47.661781311035156,47.8101063603956,47.36992048371341,47.506283305653916,70146400
2019-04-16,47.666561126708984,48.17372738438398,47.50149189935205,47.71680101561021,102785600
2019-04-17,48.594764709472656,48.65457217703205,47.513444673898555,47.735926701047596,115627200
2019-04-18,48.7694091796875,48.838784246833725,48.44884197912725,48.592377733679044,96783200
2019-04-22,48.92969512939453,49.02778027244778,48.405781021781074,48.523004996431936,77758000
2019-04-23,49.63542556762695,49.70001867175577,48.77898196787563,48.90577354056907,93292000
2019-04-24,49.55886459350586,49.874646148239904,49.53254915974815,49.60670984114939,70162400
2019-04-25,49.1091194152832,49.70240861567944,49.07084175064887,49.47992653441548,74172800
2019-04-26,48.87467575073242,49.04213597276273,48.353152601713404,49.01821151946166,74596400
2019-04-29,48.94882583618164,49.274178618619544,48.769403426389225,48.89858595528212,88818800
2019-04-30,48.00625991821289,48.65935647309257,47.63306188685307,48.57801918940816,186139600
2019-05-01,50.36268615722656,51.50859592194666,50.05407750166166,50.20957914721546,259309200
2019-05-02,50.034934997558594,50.87223969563154,49.79092311380709,50.200004222093234,127985200
2019-05-03,50.65693664550781,50.67846646268303,50.29330613721523,50.45119876388478,83569600
2019-05-06,49.874656677246094,49.96077960132917,48.6832926027295,48.87228264844447,129772400
2019-05-07,48.53017807006836,49.62106583922841,48.04454166099368,49.252653396273296,155054800
2019-05-08,48.53974914550781,49.12347073241289,48.26463619857152,48.300519226307955,105358000
2019-05-09,48.01823806762695,48.24789678600322,47.04696500995008,47.94168272792852,139634400
2019-05-10,47.35300064086914,47.75405627456011,46.29393688467953,47.410638234406825,164834800
2019-05-13,44.60087203979492,45.503839048019486,43.91163940930188,45.0787741492916,229722400
2019-05-14,45.30693054199219,45.55668620119035,44.52643906842477,44.7665902910609,146118800
2019-05-15,45.84965896606445,46.0489848683274,44.672919749406795,44.732957539326385,106178800
2019-05-16,45.6479377746582,46.22189896136479,45.35014898548038,45.60711251285755,132125600
2019-05-17,45.388580322265625,45.844866171907924,44.85064027333021,44.89146554076837,131516400
2019-05-20,43.969276428222656,44.271869244843735,43.29445223308519,44.07254333586166,154449200
2019-05-21,44.81221008300781,45.148420257456486,44.35592065835196,44.48080029361121,113459200
2019-05-22,43.89483642578125,44.59848135341637,43.83960267533602,44.34632185833325,118994400
2019-05-23,43.145565032958984,43.35689559500795,42.70128385170774,43.17918605404062,146118800
2019-05-24,42.97986602783203,43.74114498900121,42.89581163136659,43.275251015393394,94858800
2019-05-28,42.802146911621094,43.368903884393525,42.72530043390467,42.96785182423073,111792800
2019-05-29,42.5980110168457,43.07110906280727,42.266601266123324,42.3674643066876,113924800
2019-05-30,42.8189582824707,43.04229713219423,42.4275106667513,42.73490389947276,84873600
2019-05-31,42.04326629638672,42.74450725980642,42.02405376341982,42.32183886336672,108174400
2019-06-03,41.618202209472656,42.727699541313214,40.89054439256211,42.17055068266843,161584400
2019-06-04,43.14076232910156,43.18639164436824,41.911189331844724,42.132128000763274,123872000
2019-06-05,43.837188720703125,44.42556196184433,43.500978580978746,44.255053035288306,119093600
2019-06-06,44.480796813964844,44.54083460216376,43.7435310159626,43.96687349355877,90105200
2019-06-07,45.66474151611328,46.08981009449223,44.61288192923803,44.790591442053355,122737600
2019-06-10,46.248321533203125,46.918341812285604,46.01777475391753,46.06340407118152,104883600
2019-06-11,46.783843994140625,47.069624443137606,46.49326316062056,46.79585228427966,107731600
